Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_1 Sign Up,Chrome 70.0.3538.110,,2018-12-08 16:49:22,2018-12-08 16:51:35,2m - 13.742s,PASSED
,,,,,,
Test Cases/TC_01 SignUp,Chrome 70.0.3538.110,,2018-12-08 16:49:23,2018-12-08 16:51:35,2m - 12.588s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 16:49:24,2018-12-08 16:49:55,31.835s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 16:49:55,2018-12-08 16:50:09,13.825s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Sign Up).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-08 16:50:09,2018-12-08 16:51:34,1m - 24.290s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-08 16:51:34,2018-12-08 16:51:35,1.529s,PASSED
