Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_2 Balance,Chrome 70.0.3538.110,,2018-11-29 07:08:31,2018-11-29 07:08:59,28.301s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-11-29 07:08:31,2018-11-29 07:08:44,12.915s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 07:08:32,2018-11-29 07:08:40,7.685s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 07:08:40,2018-11-29 07:08:42,2.579s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 07:08:42,2018-11-29 07:08:43,0.539s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 07:08:43,2018-11-29 07:08:44,1.256s,PASSED
,,,,,,
Test Cases/TC_04 Visualize Incomes,Chrome 70.0.3538.110,,2018-11-29 07:08:44,2018-11-29 07:08:59,14.538s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 07:08:45,2018-11-29 07:08:46,1.489s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Balance).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-29 07:08:46,2018-11-29 07:08:58,11.448s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 07:08:58,2018-11-29 07:08:59,1.049s,PASSED
