Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_8 Balance Simulator,Chrome 70.0.3538.110,,2018-12-08 17:19:28,2018-12-08 17:19:55,27.142s,FAILED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-12-08 17:19:28,2018-12-08 17:19:44,15.137s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 17:19:29,2018-12-08 17:19:38,8.789s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 17:19:38,2018-12-08 17:19:42,3.995s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:19:42,2018-12-08 17:19:43,0.785s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-08 17:19:43,2018-12-08 17:19:44,0.771s,PASSED
,,,,,,
Test Cases/TC_11 Balance Simulator,Chrome 70.0.3538.110,,2018-12-08 17:19:44,2018-12-08 17:19:53,9.618s,FAILED
click,Chrome 70.0.3538.110,,2018-12-08 17:19:44,2018-12-08 17:19:46,2.143s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:19:46,2018-12-08 17:19:47,1.041s,PASSED
"Statement - For ([row = 1, row < com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Bs Di).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-08 17:19:47,2018-12-08 17:19:53,5.851s,FAILED
