Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_2 Sign In,Chrome 70.0.3538.110,,2018-12-08 16:38:59,2018-12-08 16:40:34,1m - 35.123s,PASSED
,,,,,,
Test Cases/TC_02 Sign In,Chrome 70.0.3538.110,,2018-12-08 16:39:02,2018-12-08 16:40:34,1m - 31.967s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 16:39:04,2018-12-08 16:39:49,45.287s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 16:39:49,2018-12-08 16:40:03,14.703s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Sign In).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-08 16:40:03,2018-12-08 16:40:32,28.386s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-08 16:40:32,2018-12-08 16:40:34,2.086s,PASSED
