Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_3 Daily Input,Chrome 70.0.3538.110,,2018-11-29 08:16:08,2018-11-29 08:16:42,33.887s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-11-29 08:16:09,2018-11-29 08:16:22,13.138s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 08:16:09,2018-11-29 08:16:16,6.516s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 08:16:16,2018-11-29 08:16:20,3.618s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 08:16:20,2018-11-29 08:16:21,1.135s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 08:16:21,2018-11-29 08:16:22,1.234s,PASSED
,,,,,,
Test Cases/TC_07 Delete Daily Input,Chrome 70.0.3538.110,,2018-11-29 08:16:22,2018-11-29 08:16:42,19.676s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 08:16:23,2018-11-29 08:16:25,2.419s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 08:16:25,2018-11-29 08:16:26,1.229s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Bs Di).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-29 08:16:26,2018-11-29 08:16:41,14.022s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 08:16:41,2018-11-29 08:16:42,1.120s,PASSED
