Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_1 Sign Up,Chrome 70.0.3538.110,,2018-12-09 12:22:09,2018-12-09 12:23:58,1m - 49.079s,PASSED
,,,,,,
Test Cases/TC_01 SignUp,Chrome 70.0.3538.110,,2018-12-09 12:22:10,2018-12-09 12:23:58,1m - 47.840s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-09 12:22:11,2018-12-09 12:22:21,10.334s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-09 12:22:21,2018-12-09 12:22:27,6.235s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Sign Up).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-09 12:22:27,2018-12-09 12:23:56,1m - 28.574s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-09 12:23:56,2018-12-09 12:23:58,1.916s,PASSED
