Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_4 Balance,Chrome 70.0.3538.110,,2018-12-08 17:09:47,2018-12-08 17:10:29,41.363s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-12-08 17:09:48,2018-12-08 17:10:04,16.250s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 17:09:49,2018-12-08 17:09:58,8.736s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 17:09:58,2018-12-08 17:10:01,3.768s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:10:01,2018-12-08 17:10:03,1.515s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-08 17:10:03,2018-12-08 17:10:04,1.361s,PASSED
,,,,,,
Test Cases/TC_05 Visualize Expenses,Chrome 70.0.3538.110,,2018-12-08 17:10:04,2018-12-08 17:10:29,24.218s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:10:05,2018-12-08 17:10:09,3.679s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Balance).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-08 17:10:09,2018-12-08 17:10:27,18.828s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-08 17:10:27,2018-12-08 17:10:29,1.249s,PASSED
