Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_3 Daily Input,Chrome 70.0.3538.110,,2018-11-29 08:13:44,2018-11-29 08:14:18,34.173s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-11-29 08:13:44,2018-11-29 08:13:58,13.939s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 08:13:45,2018-11-29 08:13:51,6.148s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 08:13:51,2018-11-29 08:13:56,4.369s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 08:13:56,2018-11-29 08:13:57,1.551s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 08:13:57,2018-11-29 08:13:58,0.980s,PASSED
,,,,,,
Test Cases/TC_06 Add Daily Input,Chrome 70.0.3538.110,,2018-11-29 08:13:58,2018-11-29 08:14:18,19.382s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 08:14:00,2018-11-29 08:14:02,2.234s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 08:14:02,2018-11-29 08:14:03,1.677s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Bs Di).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-29 08:14:03,2018-11-29 08:14:16,12.891s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-29 08:14:16,2018-11-29 08:14:18,1.354s,PASSED
