Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_4 Balance,Chrome 70.0.3538.110,,2018-12-08 17:07:14,2018-12-08 17:07:55,41.683s,FAILED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-12-08 17:07:15,2018-12-08 17:07:43,28.269s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 17:07:15,2018-12-08 17:07:36,20.373s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 17:07:36,2018-12-08 17:07:40,4.222s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:07:40,2018-12-08 17:07:42,1.923s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-08 17:07:42,2018-12-08 17:07:43,0.843s,PASSED
,,,,,,
Test Cases/TC_04 Visualize Incomes,Chrome 70.0.3538.110,,2018-12-08 17:07:43,2018-12-08 17:07:54,11.288s,FAILED
click,Chrome 70.0.3538.110,,2018-12-08 17:07:44,2018-12-08 17:07:48,3.671s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Balance).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-08 17:07:48,2018-12-08 17:07:54,6.653s,FAILED
