Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_5 Configuration,Chrome 70.0.3538.110,,2018-12-08 17:15:09,2018-12-08 17:16:18,1m - 9.377s,FAILED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-12-08 17:15:10,2018-12-08 17:15:28,17.970s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 17:15:11,2018-12-08 17:15:19,7.973s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 17:15:19,2018-12-08 17:15:26,6.624s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:15:26,2018-12-08 17:15:27,1.286s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-08 17:15:27,2018-12-08 17:15:28,1.138s,PASSED
,,,,,,
Test Cases/TC_09 Disable Concept,Chrome 70.0.3538.110,,2018-12-08 17:15:28,2018-12-08 17:16:17,48.898s,FAILED
click,Chrome 70.0.3538.110,,2018-12-08 17:15:29,2018-12-08 17:15:33,4.593s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:15:33,2018-12-08 17:15:34,1.153s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:15:34,2018-12-08 17:15:37,2.423s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Concept).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-12-08 17:15:37,2018-12-08 17:16:17,40.079s,FAILED
