Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_8 Saving History,Chrome 70.0.3538.110,,2018-12-08 17:26:45,2018-12-08 17:27:28,42.560s,PASSED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-12-08 17:26:48,2018-12-08 17:27:08,19.988s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-12-08 17:26:48,2018-12-08 17:26:58,9.380s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-12-08 17:26:58,2018-12-08 17:27:06,7.985s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-08 17:27:06,2018-12-08 17:27:07,0.894s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-12-08 17:27:07,2018-12-08 17:27:08,1.032s,PASSED
,,,,,,
Test Cases/TC_12 Saving History,Chrome 70.0.3538.110,,2018-12-08 17:27:08,2018-12-08 17:27:28,19.944s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:27:09,2018-12-08 17:27:16,7.527s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:27:16,2018-12-08 17:27:22,5.668s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-08 17:27:22,2018-12-08 17:27:24,2.027s,PASSED
click,Chrome 70.0.3538.110,,2018-12-08 17:27:24,2018-12-08 17:27:26,2.008s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-12-08 17:27:26,2018-12-08 17:27:28,1.577s,PASSED
