Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSu_2 Balance,Chrome 70.0.3538.110,,2018-11-29 07:03:05,2018-11-29 07:03:35,29.999s,FAILED
,,,,,,
Test Cases/Ulogin,Chrome 70.0.3538.110,,2018-11-29 07:03:06,2018-11-29 07:03:23,16.801s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 07:03:07,2018-11-29 07:03:16,8.652s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 07:03:16,2018-11-29 07:03:20,3.782s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 07:03:20,2018-11-29 07:03:21,1.898s,PASSED
setEncryptedText,Chrome 70.0.3538.110,,2018-11-29 07:03:21,2018-11-29 07:03:23,1.729s,PASSED
,,,,,,
Test Cases/TC_04 Visualize Incomes,Chrome 70.0.3538.110,,2018-11-29 07:03:23,2018-11-29 07:03:34,10.988s,FAILED
click,Chrome 70.0.3538.110,,2018-11-29 07:03:24,2018-11-29 07:03:26,2.219s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(TD Balance).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-29 07:03:26,2018-11-29 07:03:34,8.096s,FAILED
